City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,ovalle,-30.5983,-71.2003,83.71,30,1,11.43,CL,1737317401
326,khromtau,50.2503,58.4347,14.07,100,98,6.4,KZ,1737317402
327,westport,41.1415,-73.3579,38.26,81,100,4.61,US,1737317273
328,lekki,6.3607,4.8333,79.79,82,98,5.82,NG,1737317404
329,miles city,46.4083,-105.8406,2.08,68,2,8.88,US,1737317405
330,yangiobod,41.1192,70.0941,28.51,71,100,7.27,UZ,1737317407
331,yangambi,0.8102,24.4336,73.22,76,98,2.04,CD,1737317408
332,bereeda,11.8704,51.0579,72.79,71,100,8.79,SO,1737317409
333,san antonio de pale,-1.4014,5.6325,80.65,76,98,7.47,GQ,1737317410
334,bosaso,11.2842,49.1816,71.92,75,100,5.82,SO,1737317381
335,cockburn town,21.4612,-71.1419,77.95,86,0,19.46,TC,1737317167
336,anadyr,64.75,177.4833,-7.01,76,100,11.18,RU,1737317414
337,launceston,-41.45,147.1667,55.04,87,100,4.61,AU,1737317415
338,dudinka,69.4058,86.1778,-46.86,100,52,5.37,RU,1737317416
339,weno,7.4515,151.8468,82.67,79,22,18.88,FM,1737317417
340,porto franco,-6.3383,-47.3992,80.76,84,96,2.8,BR,1737317419
341,shakiso,5.75,38.9167,59.02,26,87,4.36,ET,1737317420
342,las vegas,36.175,-115.1372,51.28,19,0,3.44,US,1737317400
343,keflavik,64.0049,-22.5624,36.03,93,75,4.61,IS,1737317422
344,nantucket,41.2835,-70.0995,42.91,70,100,9.22,US,1737317423
345,sebezh,56.2955,28.4654,37.78,84,100,9.44,RU,1737317424
346,marrakesh,31.6315,-8.0083,59.07,55,0,0.0,MA,1737317143
347,sinabang,2.4803,96.3801,79.02,84,100,2.24,ID,1737317428
348,kununurra,-15.7667,128.7333,76.98,94,93,4.61,AU,1737317429
349,sakakah,29.9697,40.2064,45.97,44,98,5.41,SA,1737317430
350,yuzhno-kurilsk,44.0306,145.8556,33.82,98,100,6.24,RU,1737317431
351,pampierstad,-27.7832,24.6877,81.63,32,84,3.53,ZA,1737317432
352,toliara,-23.35,43.6667,81.32,83,30,7.29,MG,1737317434
353,rio grande,-32.035,-52.0986,78.58,77,57,9.6,BR,1737317360
354,brokopondo,4.75,-55.1667,80.65,69,83,8.52,SR,1737317437
355,sao gabriel da cachoeira,-0.1303,-67.0892,86.54,57,100,6.89,BR,1737317439
356,carutapera,-1.195,-46.02,73.81,94,100,5.14,BR,1737317440
357,lander,42.833,-108.7307,5.97,78,75,0.0,US,1737317426
358,alvorada,-12.48,-49.1247,80.22,81,18,3.0,BR,1737317442
359,lilongwe,-13.9669,33.7873,68.79,92,100,1.79,MW,1737317443
360,six-fours-les-plages,43.0938,5.84,50.76,78,100,16.8,FR,1737317444
361,upata,8.0086,-62.3989,87.76,40,35,10.04,VE,1737317385
